thematic;card;id;bearer;place;place_name;conditions;lockturn;weight;question;power;oxygen;people;hull;load;override_yes;answer_yes;yes;override_no;answer_no;no;thematic
housing;_housing;30;robot;planet;Pressure Ward|ruins;water_secure;del;max;Two million people sleep in illegal pressure rooms. I can print public homes, but the debt will drain our grid.;;;;;sfx_sfx_class_repair_hull;PRINT PUBLIC HOMES;;public_homes and nb_capacity+1 and nb_trust+2 and people+3 and hull+3 and power-3 and >_housing_scene;ZONE PRIVATE TOWERS;;private_towers and nb_growth+2 and hull+3 and power+1 and people-2 and >_housing_scene;30
housing;_housing;31;robot;planet;Pressure Ward|ruins;;del;max;The valves hold. Two million people still sleep in pressure rooms. Print public homes, or sell the skyline?;;;;;sfx_sfx_class_repair_hull;PRINT PUBLIC HOMES;;public_homes and nb_capacity+1 and nb_trust+2 and people+3 and hull+3 and power-3 and >_housing_scene;ZONE PRIVATE TOWERS;;private_towers and nb_growth+2 and hull+3 and power+1 and people-2 and >_housing_scene;31
cinematic;_housing_scene;32;reporter;station;New Lionrise|starcity;public_homes;del;max;YEAR 3. My family has a window. The Ruler's portrait disappeared behind the cranes.;;;;;sfx_sfx_class_repair_hull and mus_station;A HOME;;>_corruption;AT WHAT COST?;;>_corruption;32
cinematic;_housing_scene;33;reporter;planet;Private Skyline|towers;;del;max;YEAR 3. The towers reached orbit. My family moved our partition three meters from the rent.;;;;;sfx_sfx_class_repair_hull and mus_station;SO FAST;;>_corruption;WHO WAS LEFT BELOW?;;>_corruption;33
governance;_corruption;40;sala;ship;Works Ministry|corridor;public_homes;del;max;Four thousand bribes followed the housing contracts. Pay clean officials, or let my brokers keep building fast?;;;;;;CLEAN GOVERNMENT;;clean_service and nb_capacity+2 and nb_trust+1 and power+2 and people+2 and hull-1 and >_defense;USE THE BROKERS;;use_brokers and nb_growth+2 and hull+3 and power+1 and people-2 and >_defense;40
governance;_corruption;41;sala;ship;Works Ministry|corridor;;del;max;Private towers brought land prices and kickbacks. Pay clean officials, or let my brokers keep deals moving?;;;;;;CLEAN GOVERNMENT;;clean_service and nb_capacity+2 and nb_trust+1 and power+2 and people+2 and hull-1 and >_defense;USE THE BROKERS;;use_brokers and nb_growth+2 and hull+3 and power+1 and people-2 and >_defense;41
security;_defense;50;general;defaut;Equatorial Strait|asteroid;clean_service;del;max;Central's patrols are gone. Draft every citizen for two years, or hire lunar guns?;;;;;sfx_sfx_ship_alarm;NATIONAL SERVICE;;national_service and nb_capacity+2 and nb_trust+1 and power+3 and people-2 and hull+1 and >_investment;HIRE CONTRACTORS;;contractors and nb_growth+2 and hull+2 and power-1 and people+1 and >_investment;50
security;_defense;51;general;defaut;Equatorial Strait|asteroid;;del;max;The brokers found us an army at triple price. Draft every citizen, or keep the lunar guns?;;;;;sfx_sfx_ship_alarm;NATIONAL SERVICE;;national_service and nb_capacity+2 and nb_trust+1 and power+3 and people-2 and hull+1 and >_investment;HIRE CONTRACTORS;;contractors and nb_growth+2 and hull+2 and power-1 and people+1 and >_investment;51
industry;_investment;60;mantis;moon;Lunar Exchange|shop;national_service;del;max;Helix offers factories, capital, and dependency. Give us stable rules, or build your own industry?;;;;;mus_moon;INVITE THE WORLD;;foreign_investment and nb_growth+2 and nb_capacity+1 and hull+4 and people+2 and oxygen-3 and power-1 and >_factory_scene;BUILD OUR OWN;;state_industry and nb_capacity+2 and nb_trust+1 and hull+2 and power-3 and oxygen+1 and people+1 and >_factory_scene;60
industry;_investment;61;mantis;moon;Lunar Exchange|shop;;del;max;Your hired guns impressed our insurers. Helix brings factories and dependency. Invite us, or build alone?;;;;;mus_moon;INVITE THE WORLD;;foreign_investment and nb_growth+2 and nb_capacity+1 and hull+4 and people+2 and oxygen-3 and power-1 and >_factory_scene;BUILD OUR OWN;;state_industry and nb_capacity+2 and nb_trust+1 and hull+2 and power-3 and oxygen+1 and people+1 and >_factory_scene;61
cinematic;_factory_scene;62;robot;moon;Industrial Dawn|moon;foreign_investment;del;max;YEAR 6. Helix cargo falls like rain. The old ration queue becomes the morning shift.;;;;;mus_moon and eff_concertlight;TEN THOUSAND JOBS;;>_labor;WHO OWNS THEM?;;>_labor;62
cinematic;_factory_scene;63;robot;moon;Industrial Dawn|milky;;del;max;YEAR 6. Our first turbine says MADE IN LIONRISE. I apologize for the spelling error.;;;;;mus_moon and sfx_sfx_crowd_cheer;MADE HERE;;>_labor;FIX THE SPELLING;;>_labor;63
labor;_labor;70;robot;ship;Freight Spine|bridge;foreign_investment;del;max;The factories are dark. Workers demand humane hours. Put labor and industry at one table, or send drones?;;;;;mus_dangerous;MAKE THE COMPACT;;labor_compact and nb_growth+1 and nb_capacity+1 and nb_trust+2 and people+3 and hull+1 and power-2 and >_education;BREAK THE STRIKE;;strike_crushed and nb_growth+1 and nb_capacity+2 and power+3 and hull+2 and people-3 and >_education;70
labor;_labor;71;robot;ship;Freight Spine|bridge;;del;max;Our own foundries invented the fourteen-hour shift. Put labor and industry at one table, or send drones?;;;;;mus_dangerous;MAKE THE COMPACT;;labor_compact and nb_growth+1 and nb_capacity+1 and nb_trust+2 and people+3 and hull+1 and power-2 and >_education;BREAK THE STRIKE;;strike_crushed and nb_growth+1 and nb_capacity+2 and power+3 and hull+2 and people-3 and >_education;71
education;_education;80;reporter;station;Common School|station;labor_compact;del;max;My school has seven languages and none we share. Choose one working tongue, or translate everything?;;;;;;ONE COMMON TONGUE;;common_language and nb_growth+1 and nb_capacity+1 and nb_trust+1 and people+2 and power+2 and >_cohesion;TRANSLATE EVERYTHING;;universal_translation and nb_growth+1 and nb_trust+2 and people+3 and power-2 and hull-1 and >_cohesion;80
education;_education;81;reporter;station;Common School|station;;del;max;The strike ended in silence. My school has seven languages and none we share. How will we work together?;;;;;;ONE COMMON TONGUE;;common_language and nb_growth+1 and nb_capacity+1 and nb_trust+1 and people+2 and power+2 and >_cohesion;TRANSLATE EVERYTHING;;universal_translation and nb_growth+1 and nb_trust+2 and people+3 and power-2 and hull-1 and >_cohesion;81
cohesion;_cohesion;90;reporter;station;Housing Commons|starcity;common_language;del;max;Two tower blocs are fighting over air. Mix every public block, or let each district govern itself?;;;;;sfx_sfx_ship_alarm;MIX EVERY BLOCK;;mixed_blocks and nb_capacity+1 and nb_trust+2 and people+3 and hull+1 and power-1 and >_port;LET DISTRICTS CHOOSE;;separate_quarters and nb_growth+1 and nb_trust+1 and power+2 and hull+1 and people-1 and >_port;90
cohesion;_cohesion;91;reporter;station;Housing Commons|starcity;;del;max;Universal translation made every insult clear. Mix the fighting tower blocs, or let districts separate?;;;;;sfx_sfx_ship_alarm;MIX EVERY BLOCK;;mixed_blocks and nb_capacity+1 and nb_trust+2 and people+3 and hull+1 and power-1 and >_port;LET DISTRICTS CHOOSE;;separate_quarters and nb_growth+1 and nb_trust+1 and power+2 and hull+1 and people-1 and >_port;91
trade;_port;100;sala;defaut;Equatorial Elevator|sun;mixed_blocks;del;max;The dead elevator can make Lionrise Earth's busiest port. Open it to everyone, or keep state control?;;;;;mus_salient;BUILD THE FREE PORT;;free_port and nb_growth+2 and nb_capacity+1 and hull+4 and people+2 and power-2 and >_port_opening;KEEP STATE CONTROL;;strategic_control and nb_capacity+2 and nb_trust+1 and power+2 and oxygen+1 and hull-2 and >_port_opening;100
trade;_port;101;sala;defaut;Equatorial Elevator|sun;;del;max;The districts made peace. The dead elevator can make us indispensable. Open it, or keep state control?;;;;;mus_salient;BUILD THE FREE PORT;;free_port and nb_growth+2 and nb_capacity+1 and hull+4 and people+2 and power-2 and >_port_opening;KEEP STATE CONTROL;;strategic_control and nb_capacity+2 and nb_trust+1 and power+2 and oxygen+1 and hull-2 and >_port_opening;101
cinematic;_port_opening;102;sala;defaut;Elevator Ignition|sun;free_port;del;max;YEAR 11. The elevator ignites from ocean to orbit. One billion people watch my signal-guitar.;;;;;eff_concertlight and sfx_sfx_crowd_cheer;PLAY IT LOUD;;>_signal_concert;DON'T MISS;;>_signal_concert;102
cinematic;_port_opening;103;sala;defaut;Elevator Ignition|sun;;del;max;YEAR 11. The elevator ignites under military control. Even strategic assets need an anthem.;;;;;eff_concertlight and sfx_sfx_crowd_cheer;PLAY IT LOUD;;>_signal_concert;KEEP CONTROL;;>_signal_concert;103
play;_signal_concert;104;concert;defaut;Signal Spine|nebula;;del;max;KEEP THE CITY IN RHYTHM. Guide the signal-guitar until the elevator beacons synchronize.;;;;;mus_stop;;;signal_success and nb_growth+1 and nb_trust+1 and hull+2 and people+1 and >_signal_result;;;signal_failed and hull-2 and people-1 and >_signal_result;104
cinematic;_signal_result;105;sala;station;Port Concourse|starcity;signal_success;del;max;The last chord locks. Cargo rises in perfect intervals. The crowd watches Lionrise work.;;;;;sfx_sfx_power_shields and mus_party;WE DID IT;;>_land;THE PORT DID;;>_land;105
cinematic;_signal_result;106;sala;station;Port Concourse|station;;del;max;Three capsules miss their slots before BRIC catches them. The port works. The anthem needs work.;;;;;sfx_sfx_ship_alarm and mus_station;BOW ANYWAY;;>_land;FIX THE BEACONS;;>_land;106
land;_land;110;dose;planet;Drowned Shore|underwater;free_port;del;max;The port needs land. Reclaim the sea and bury the mangroves, or build upward?;;;;;mus_planet;RECLAIM THE RING;;reclaimed_ring and nb_growth+2 and nb_capacity+1 and hull+4 and people+2 and oxygen-3 and power-2 and >_green;BUILD UPWARD;;protected_shore and nb_growth+1 and nb_trust+2 and oxygen+2 and people+1 and hull-2 and power+1 and >_green;110
land;_land;111;dose;planet;Drowned Shore|underwater;;del;max;Cargo waits offshore. Reclaim the sea and bury the mangroves, or build upward?;;;;;mus_planet;RECLAIM THE RING;;reclaimed_ring and nb_growth+2 and nb_capacity+1 and hull+4 and people+2 and oxygen-3 and power-2 and >_green;BUILD UPWARD;;protected_shore and nb_growth+1 and nb_trust+2 and oxygen+2 and people+1 and hull-2 and power+1 and >_green;111
environment;_green;120;dose;planet;Garden Levels|forest;reclaimed_ring;del;max;The new ring doubled our land and buried the shore. Green every level now, or grow first and clean later?;;;;;mus_peaceful;GREEN EVERY LEVEL;;garden_city and nb_capacity+1 and nb_trust+2 and oxygen+4 and people+3 and hull-2 and power-2 and >_merit;GROW. CLEAN LATER.;;growth_first and nb_growth+2 and nb_capacity+1 and hull+4 and power+2 and oxygen-3 and people-1 and >_merit;120
environment;_green;121;dose;planet;Garden Levels|forest;;del;max;The shore survives, but the vertical city overheats. Green every level, or clean it after we are rich?;;;;;mus_peaceful;GREEN EVERY LEVEL;;garden_city and nb_capacity+1 and nb_trust+2 and oxygen+4 and people+3 and hull-2 and power-2 and >_merit;GROW. CLEAN LATER.;;growth_first and nb_growth+2 and nb_capacity+1 and hull+4 and power+2 and oxygen-3 and people-1 and >_merit;121
merit;_merit;130;reporter;station;Merit School|starcity;garden_city;del;max;YEAR 15. The aptitude engine rejects poor-block children. Open the exams, or fast-track only the best?;;;;;;OPEN THE EXAMS;;open_exams and nb_growth+1 and nb_capacity+1 and nb_trust+2 and people+3 and power-1 and hull+1 and >_watch;FAST-TRACK THE BEST;;fast_track and nb_growth+2 and nb_capacity+1 and power+3 and hull+2 and people-2 and >_watch;130
merit;_merit;131;reporter;station;Merit School|station;;del;max;YEAR 15. Beneath the factory haze, poor children fail before testing. Open the exams, or fast-track the best?;;;;;;OPEN THE EXAMS;;open_exams and nb_growth+1 and nb_capacity+1 and nb_trust+2 and people+3 and power-1 and hull+1 and >_watch;FAST-TRACK THE BEST;;fast_track and nb_growth+2 and nb_capacity+1 and power+3 and hull+2 and people-2 and >_watch;131
surveillance;_watch;140;general;vr;Civic Eye|vr;open_exams;del;max;Big Brother offers nano-eyes in every wall. Crime falls. Privacy dies. Demand warrants, or watch everyone?;;;;;mus_dangerous;WARRANTS REQUIRED;;warrants and nb_capacity+1 and nb_trust+2 and people+2 and power+1 and >_watch_scene;WATCH EVERYONE;;total_watch and nb_growth+1 and nb_capacity+2 and power+3 and hull+2 and people-3 and >_watch_scene;140
surveillance;_watch;141;general;vr;Civic Eye|vr;;del;max;The alleys hate our fast-track elite. Nano-eyes promise order and obedience. Demand warrants, or watch everyone?;;;;;mus_dangerous;WARRANTS REQUIRED;;warrants and nb_capacity+1 and nb_trust+2 and people+2 and power+1 and >_watch_scene;WATCH EVERYONE;;total_watch and nb_growth+1 and nb_capacity+2 and power+3 and hull+2 and people-3 and >_watch_scene;141
cinematic;_watch_scene;142;computer;planet;Civic Eye Breach|city;warrants;del;max;YEAR 17. A court opens the first nano-eye. Every screen turns red. Someone is rewriting water allocations.;;;;;eff_alert and sfx_sfx_ship_alarm;TRACE THEM;;>_nanonet;THEY SEE US;;>_nanonet;142
cinematic;_watch_scene;143;computer;planet;Civic Eye Breach|city;;del;max;YEAR 17. Every wall opens an eye. For 0.2 seconds there is no crime. Then the water grid turns red.;;;;;eff_alert and sfx_sfx_ship_alarm;PERFECT ORDER;;>_nanonet;WHO TOOK CONTROL?;;>_nanonet;143
play;_nanonet;144;fight;vr;Allocation Mesh|vr;;del;max;STABILIZE THE NANONET. Keep the white pulse inside the moving red allocation window.;;;;;mus_dangerous;;;network_stable and nb_capacity+1 and nb_trust+1 and oxygen+2 and power+2 and >_network_result;;;network_failed and oxygen-3 and power-2 and people-2 and >_network_result;144
cinematic;_network_result;145;robot;ship;Emergency Grid|bridge;network_stable;del;max;The pulse locks. District engineers reopen the valves before Central answers.;;;;;eff_multiverse and sfx_sfx_fight_rebalance;THEY SAVED IT;;>_succession;WE SAVED IT;;>_succession;145
cinematic;_network_result;146;robot;ship;Emergency Grid|corridor;;del;max;The pulse fractures. Three districts go dry before I cut the mesh by hand.;;;;;eff_boum and sfx_sfx_minigame_fail;TOO SLOW;;>_succession;YOU ACTED;;>_succession;146
succession;_succession;150;reporter;castle;Council Chamber;warrants;del;max;Your term ends tonight. Build a cabinet that can oppose you, or choose an heir who never will?;;;;;;BUILD INSTITUTIONS;;institutions and nb_capacity+1 and nb_trust+2 and people+3 and power-1 and >_succession_scene;CHOOSE A LOYAL HEIR;;loyal_heir and nb_growth+1 and nb_capacity+2 and power+2 and people-2 and hull+2 and >_succession_scene;150
succession;_succession;151;reporter;castle;Council Chamber;;del;max;The nano-eyes predict you will be wrong. Build a cabinet that can oppose you, or choose a loyal heir?;;;;;;BUILD INSTITUTIONS;;institutions and nb_capacity+1 and nb_trust+2 and people+3 and power-1 and >_succession_scene;CHOOSE A LOYAL HEIR;;loyal_heir and nb_growth+1 and nb_capacity+2 and power+2 and people-2 and hull+2 and >_succession_scene;151
cinematic;_succession_scene;152;computer;vrplanet;HELM Observation|city;institutions;del;max;YEAR 20. You leave. The cabinet keeps arguing without permission. I begin the final exam.;;;;;eff_vr and mus_dangerous;LET THEM ARGUE;;>_final_exam;GRADE ME;;>_final_exam;152
cinematic;_succession_scene;153;computer;vrplanet;HELM Observation|city;;del;max;YEAR 20. Your heir kneels beneath the orbital portrait and waits. I begin the final exam.;;;;;eff_vr and mus_dangerous;THEY ARE LOYAL;;>_final_exam;GRADE ME;;>_final_exam;153
assessment;_final_exam;160;computer;vr;HELM Chamber|vr;institutions;del;max;FINAL EXAM. Central diverts our water to orbit. Let every district repair the grid, or seize control?;;;;;mus_dangerous and sfx_sfx_ship_alarm;OPEN THE NETWORK;;open_network and nb_growth+1 and nb_capacity+1 and nb_trust+2 and oxygen+3 and people+3 and power-2 and hull-1 and >_verdict;CENTRAL OVERRIDE;;central_override and nb_growth+1 and nb_capacity+2 and power+4 and hull+2 and oxygen-2 and people-2 and >_verdict;160
assessment;_final_exam;161;computer;vr;HELM Chamber|vr;;del;max;FINAL EXAM. Central diverts our water to orbit. Open the grid, or let your loyal heir seize control?;;;;;mus_dangerous and sfx_sfx_ship_alarm;OPEN THE NETWORK;;open_network and nb_growth+1 and nb_capacity+1 and nb_trust+2 and oxygen+3 and people+3 and power-2 and hull-1 and >_verdict;CENTRAL OVERRIDE;;central_override and nb_growth+1 and nb_capacity+2 and power+4 and hull+2 and oxygen-2 and people-2 and >_verdict;161
ending;_verdict;900;end>speakers;station;Lionrise|starcity;open_network and nb_growth>9 and nb_capacity>14 and nb_trust>14;del;max;PASS WITH DISTINCTION - THE LION CITY. Prosperity, capacity, and trust survive the ruler. HELM certifies you fit to rule.;;;;;;;;;;;;900
ending;_verdict;901;end>power;vr;Glass Citadel|vr;central_override and nb_capacity>18 and nb_trust<10;del;max;CONDITIONAL PASS - THE GLASS CITADEL. Lionrise is rich and silent. The state cannot correct its ruler.;;;;;;;;;;;;901
ending;_verdict;902;end>airlock;defaut;Open Crossroads|galaxy;open_network and nb_growth>20;del;max;PASS - THE OPEN CROSSROADS. Lionrise becomes indispensable, but open systems still need emergency capacity.;;;;;;;;;;;;902
ending;_verdict;903;end>oxygen;planet;Garden City|tropical;open_network and nb_trust>22;del;max;PASS - THE GARDEN CITY. The people become the city's redundancy. Trust survives, but cannot replace hard capacity.;;;;;;;;;;;;903
ending;_verdict;904;end>explosion;planet;Last Light|ruins;;del;max;FAIL - THIRD WORLD WITH TOWERS. The skyline reaches orbit. Water, trust, and command fail below it. HELM resets S1.;;;;;;;;;;;;904
